monitoreo,familia,especie,nombre_comun,meses_desde_inicio,elevacion_m,coord_x,coord_y,altura_anterior,copa_anterior,fito_Bueno,fito_Malo,fito_Regular,gremio_Inicial,gremio_Intermedia,gremio_Tardía,loc_Guayabal,loc_San Antonio,loc_Tres Jotas,altura_actual,copa_actual
2,9,22,25,6,2729,4735724.860605,2199476.97647,0.2,0.15,0,0,1,0,0,1,1,0,0,0.15,0.1
2,9,22,25,6,2728,4735725.18271,2199471.433581,0.21,0.15,1,0,0,0,0,1,1,0,0,0.27,0.21
3,9,22,25,12,2728,4735725.18271,2199471.433581,0.27,0.21,1,0,0,0,0,1,1,0,0,0.35,0.28
4,9,22,25,18,2728,4735725.18271,2199471.433581,0.35,0.28,1,0,0,0,0,1,1,0,0,0.5,0.49
2,9,22,25,6,2729,4735724.456464,2199467.772267,0.2,0.15,1,0,0,0,0,1,1,0,0,0.2,0.17
3,9,22,25,12,2729,4735724.456464,2199467.772267,0.2,0.17,0,0,1,0,0,1,1,0,0,0.2,0.17
4,9,22,25,18,2729,4735724.456464,2199467.772267,0.2,0.17,0,1,0,0,0,1,1,0,0,0.2,0.17
2,9,22,25,6,2730,4735721.657793,2199461.899454,0.2,0.12,1,0,0,0,0,1,1,0,0,0.28,0.24
3,9,22,25,12,2730,4735721.657793,2199461.899454,0.28,0.24,1,0,0,0,0,1,1,0,0,0.28,0.28
4,9,22,25,18,2730,4735721.657793,2199461.899454,0.28,0.28,1,0,0,0,0,1,1,0,0,0.4,0.32
2,9,22,25,6,2731,4735718.516451,2199461.175446,0.2,0.12,1,0,0,0,0,1,1,0,0,0.2,0.18
3,9,22,25,12,2731,4735718.516451,2199461.175446,0.2,0.18,1,0,0,0,0,1,1,0,0,0.2,0.19
4,9,22,25,18,2731,4735718.516451,2199461.175446,0.2,0.19,1,0,0,0,0,1,1,0,0,0.25,0.3399999999999999
2,9,22,25,6,2731,4735717.256226,2199468.73812,0.2,0.12,1,0,0,0,0,1,1,0,0,0.32,0.21
3,9,22,25,12,2731,4735717.256226,2199468.73812,0.32,0.21,1,0,0,0,0,1,1,0,0,0.34,0.24
4,9,22,25,18,2731,4735717.256226,2199468.73812,0.34,0.24,1,0,0,0,0,1,1,0,0,0.45,0.32
2,9,22,25,6,2732,4735710.587321,2199463.236449,0.2,0.2,1,0,0,0,0,1,1,0,0,0.25,0.25
2,9,22,25,6,2814,4736214.230007,2199826.180178,0.2,0.2,1,0,0,0,0,1,1,0,0,0.2,0.2
3,9,22,25,12,2814,4736214.230007,2199826.180178,0.2,0.2,1,0,0,0,0,1,1,0,0,0.23,0.23
4,9,22,25,18,2814,4736214.230007,2199826.180178,0.23,0.23,1,0,0,0,0,1,1,0,0,0.26,0.3
2,20,23,22,6,2814,4736192.233286,2199826.323329,0.21,0.13,1,0,0,0,0,1,1,0,0,0.28,0.17
3,20,23,22,12,2814,4736192.233286,2199826.323329,0.28,0.17,1,0,0,0,0,1,1,0,0,0.3,0.25
4,20,23,22,18,2814,4736192.233286,2199826.323329,0.3,0.25,1,0,0,0,0,1,1,0,0,0.35,0.27
2,0,12,7,6,2814,4736189.058334,2199823.743693,0.21,0.13,0,0,1,0,0,1,1,0,0,0.28,0.15
3,0,12,7,12,2814,4736189.058334,2199823.743693,0.28,0.15,1,0,0,0,0,1,1,0,0,0.29,0.23
2,1,17,2,6,2814,4736186.280132,2199822.883792,0.21,0.08,1,0,0,1,0,0,1,0,0,0.5200000000000001,0.33
3,1,17,2,12,2814,4736186.280132,2199822.883792,0.52,0.33,1,0,0,1,0,0,1,0,0,1.2,0.75
4,1,17,2,18,2814,4736186.280132,2199822.883792,1.2,0.75,1,0,0,1,0,0,1,0,0,1.78,0.89
2,20,23,22,6,2814,4736183.964948,2199822.61921,0.22,0.13,1,0,0,0,0,1,1,0,0,0.33,0.13
3,20,23,22,12,2814,4736183.964948,2199822.61921,0.33,0.13,1,0,0,0,0,1,1,0,0,0.34,0.17
4,20,23,22,18,2814,4736183.964948,2199822.61921,0.34,0.17,1,0,0,0,0,1,1,0,0,0.4,0.19
2,9,22,25,6,2814,4736181.583745,2199822.354665,0.25,0.11,1,0,0,0,0,1,1,0,0,0.28,0.27
3,9,22,25,12,2814,4736181.583745,2199822.354665,0.28,0.27,1,0,0,0,0,1,1,0,0,0.3,0.34
