unique_tree_id,id_parcela,monitoreo,monitoreo_label,familia,especie,nombre_comun,meses_desde_inicio,elevacion_m,coord_x,coord_y,altura_anterior,copa_anterior,fito_Bueno,fito_Malo,fito_Regular,gremio_Inicial,gremio_Intermedia,gremio_Tardía,loc_Guayabal,loc_San Antonio,loc_Tres Jotas,crecimiento_altura,crecimiento_copa,altura_actual,copa_actual
Guayabal_P28_Inan,28,2,M2,Fagaceae,Quercus humboldtii,Roble,6,2729,4735724.860605,2199476.97647,0.2,0.15,0,0,1,0,0,1,1,0,0,-0.05000000000000002,-0.04999999999999999,0.15,0.1
Guayabal_P30_Inan,30,2,M2,Fagaceae,Quercus humboldtii,Roble,6,2728,4735725.18271,2199471.433581,0.21,0.15,1,0,0,0,0,1,1,0,0,0.06000000000000003,0.06,0.27,0.21
Guayabal_P30_Inan,30,3,M3,Fagaceae,Quercus humboldtii,Roble,12,2728,4735725.18271,2199471.433581,0.27,0.21,1,0,0,0,0,1,1,0,0,0.07999999999999996,0.07000000000000003,0.35,0.28
Guayabal_P30_Inan,30,4,M4,Fagaceae,Quercus humboldtii,Roble,18,2728,4735725.18271,2199471.433581,0.35,0.28,1,0,0,0,0,1,1,0,0,0.15,0.21,0.5,0.49
Guayabal_P31_Inan,31,2,M2,Fagaceae,Quercus humboldtii,Roble,6,2729,4735724.456464,2199467.772267,0.2,0.15,1,0,0,0,0,1,1,0,0,0.0,0.02000000000000002,0.2,0.17
Guayabal_P31_Inan,31,3,M3,Fagaceae,Quercus humboldtii,Roble,12,2729,4735724.456464,2199467.772267,0.2,0.17,0,0,1,0,0,1,1,0,0,0.0,0.0,0.2,0.17
Guayabal_P31_Inan,31,4,M4,Fagaceae,Quercus humboldtii,Roble,18,2729,4735724.456464,2199467.772267,0.2,0.17,0,1,0,0,0,1,1,0,0,0.0,0.0,0.2,0.17
Guayabal_P33_Inan,33,2,M2,Fagaceae,Quercus humboldtii,Roble,6,2730,4735721.657793,2199461.899454,0.2,0.12,1,0,0,0,0,1,1,0,0,0.08000000000000002,0.12,0.28,0.24
Guayabal_P33_Inan,33,3,M3,Fagaceae,Quercus humboldtii,Roble,12,2730,4735721.657793,2199461.899454,0.28,0.24,1,0,0,0,0,1,1,0,0,0.0,0.04000000000000004,0.28,0.28
Guayabal_P33_Inan,33,4,M4,Fagaceae,Quercus humboldtii,Roble,18,2730,4735721.657793,2199461.899454,0.28,0.28,1,0,0,0,0,1,1,0,0,0.12,0.03999999999999998,0.4,0.32
Guayabal_P35_Inan,35,2,M2,Fagaceae,Quercus humboldtii,Roble,6,2731,4735718.516451,2199461.175446,0.2,0.12,1,0,0,0,0,1,1,0,0,0.0,0.06,0.2,0.18
Guayabal_P35_Inan,35,3,M3,Fagaceae,Quercus humboldtii,Roble,12,2731,4735718.516451,2199461.175446,0.2,0.18,1,0,0,0,0,1,1,0,0,0.0,0.01000000000000001,0.2,0.19
Guayabal_P35_Inan,35,4,M4,Fagaceae,Quercus humboldtii,Roble,18,2731,4735718.516451,2199461.175446,0.2,0.19,1,0,0,0,0,1,1,0,0,0.04999999999999999,0.15,0.25,0.33999999999999997
Guayabal_P36_Inan,36,2,M2,Fagaceae,Quercus humboldtii,Roble,6,2731,4735717.256226,2199468.73812,0.2,0.12,1,0,0,0,0,1,1,0,0,0.12,0.09,0.32,0.21
